--- winxp.dat	2019-05-07 19:32:18.980564900 +0900
+kernel32.dll	IsNLSDefinedString
+kernel32.dll	IsNativeVhdBoot
+kernel32.dll	IsNormalizedString
+kernel32.dll	IsProcessCritical
+kernel32.dll	IsThreadAFiber
+kernel32.dll	IsThreadpoolTimerSet
+kernel32.dll	IsValidCalDateTime
-kernel32.dll	IsValidUILanguage
+kernel32.dll	IsValidLocaleName
+kernel32.dll	IsValidNLSVersion
+kernel32.dll	IsWow64GuestMachineSupported
+kernel32.dll	IsWow64Process2
+kernel32.dll	K32EmptyWorkingSet
+kernel32.dll	K32EnumDeviceDrivers
+kernel32.dll	K32EnumPageFilesA
+kernel32.dll	K32EnumPageFilesW
+kernel32.dll	K32EnumProcessModules
+kernel32.dll	K32EnumProcessModulesEx
+kernel32.dll	K32EnumProcesses
+kernel32.dll	K32GetDeviceDriverBaseNameA
+kernel32.dll	K32GetDeviceDriverBaseNameW
+kernel32.dll	K32GetDeviceDriverFileNameA
+kernel32.dll	K32GetDeviceDriverFileNameW
+kernel32.dll	K32GetMappedFileNameA
+kernel32.dll	K32GetMappedFileNameW
+kernel32.dll	K32GetModuleBaseNameA
+kernel32.dll	K32GetModuleBaseNameW
+kernel32.dll	K32GetModuleFileNameExA
+kernel32.dll	K32GetModuleFileNameExW
+kernel32.dll	K32GetModuleInformation
+kernel32.dll	K32GetPerformanceInfo
+kernel32.dll	K32GetProcessImageFileNameA
+kernel32.dll	K32GetProcessImageFileNameW
+kernel32.dll	K32GetProcessMemoryInfo
+kernel32.dll	K32GetWsChanges
+kernel32.dll	K32GetWsChangesEx
+kernel32.dll	K32InitializeProcessForWsWatch
+kernel32.dll	K32QueryWorkingSet
+kernel32.dll	K32QueryWorkingSetEx
+kernel32.dll	LCIDToLocaleName
+kernel32.dll	LCMapStringEx
+kernel32.dll	LeaveCriticalSectionWhenCallbackReturns
+kernel32.dll	LoadAppInitDlls
+kernel32.dll	LoadEnclaveData
+kernel32.dll	LoadPackagedLibrary
+kernel32.dll	LoadStringBaseExW
+kernel32.dll	LoadStringBaseW
+kernel32.dll	LocaleNameToLCID
+kernel32.dll	LocateXStateFeature
+kernel32.dll	MapViewOfFileExNuma
+kernel32.dll	MapViewOfFileFromApp
+kernel32.dll	MoveFileTransactedA
+kernel32.dll	MoveFileTransactedW
-kernel32.dll	NlsConvertIntegerToString
+kernel32.dll	NeedCurrentDirectoryForExePathA
+kernel32.dll	NeedCurrentDirectoryForExePathW
+kernel32.dll	NlsCheckPolicy
+kernel32.dll	NlsEventDataDescCreate
-kernel32.dll	NlsResetProcessLocale
-kernel32.dll	NumaVirtualQueryNode
+kernel32.dll	NlsUpdateLocale
+kernel32.dll	NlsUpdateSystemLocale
+kernel32.dll	NlsWriteEtwEvent
+kernel32.dll	NormalizeString
